query,chunking_method,retrieval_method,k,precision@k,recall@k,relevant_chunks_retrieved,unique_relevant_sources_retrieved,num_relevant_sources,retrieved_sources,retrieved_titles
What is the impact of LLMs on copyright?,fixed_size,similarity,1,1.0,0.2,1,1,5,['3614407.3643696.pdf'],"[""Talkin' 'Bout AI Generation""]"
What is the impact of LLMs on copyright?,fixed_size,similarity,3,1.0,0.4,3,2,5,"['3614407.3643696.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","[""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,fixed_size,similarity,5,1.0,0.4,5,2,5,"['3614407.3643696.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","[""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,fixed_size,mmr,1,1.0,0.2,1,1,5,['3614407.3643696.pdf'],"[""Talkin' 'Bout AI Generation""]"
What is the impact of LLMs on copyright?,fixed_size,mmr,3,0.6666666666666666,0.4,2,2,5,"['3614407.3643696.pdf', '3709025.3712206.pdf', '3511265.3550444.pdf']","[""Talkin' 'Bout AI Generation"", 'When Anti-Fraud Laws Become a Barrier to Computer Science Research', ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity""]"
What is the impact of LLMs on copyright?,fixed_size,mmr,5,0.8,0.6,4,3,5,"['3614407.3643696.pdf', '3709025.3712206.pdf', '3511265.3550444.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","[""Talkin' 'Bout AI Generation"", 'When Anti-Fraud Laws Become a Barrier to Computer Science Research', ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,fixed_size,with_scores,1,1.0,0.2,1,1,5,['3614407.3643696.pdf'],"[""Talkin' 'Bout AI Generation""]"
What is the impact of LLMs on copyright?,fixed_size,with_scores,3,1.0,0.4,3,2,5,"['3614407.3643696.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","[""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,fixed_size,with_scores,5,1.0,0.4,5,2,5,"['3614407.3643696.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","[""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,fixed_size,bm25,1,0.0,0.0,0,0,5,['3709025.3712220.pdf'],['If You Give an LLM a Legal Practice Guide']
